task,model,variant,accuracy,macro_f1,weighted_f1,best_epoch,best_val_macro_f1,train_seconds
sentiment,phobert,clean,0.931459,0.822815,0.929772,4,0.848147,469.23
topic,phobert,clean,0.896399,0.800073,0.894241,4,0.802489,468.99
