task,system,variant,noise_type,noise_level,num_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,variant_order,clean_macro_f1,variant_macro_f1,macro_f1_drop,macro_f1_relative_drop_percent,rank_macro_f1_within_variant,phobert_only_macro_f1,phobert_only_accuracy,oracle_router_macro_f1,oracle_router_accuracy,macro_f1_gain_vs_phobert,accuracy_gain_vs_phobert,macro_f1_gap_to_oracle
sentiment,phobert_only,teencode_light,teencode,light,3166,0.924826,0.824704,0.805122,0.814152,0.922626,0.924826,0.923594,3,0.822815,0.814152,0.008663,1.0528,1,0.814152,0.924826,0.814152,0.924826,0.0,0.0,0.0
sentiment,robust_router,teencode_light,teencode,light,3166,0.924826,0.824677,0.805122,0.814139,0.922623,0.924826,0.923594,3,0.822803,0.814139,0.008664,1.053,2,0.814152,0.924826,0.814152,0.924826,-1.3e-05,0.0,1.3e-05
sentiment,tfidf_char_svm_only,teencode_light,teencode,light,3166,0.869236,0.725994,0.742901,0.733458,0.874557,0.869236,0.871656,3,0.738784,0.733458,0.005326,0.7209,3,0.814152,0.924826,0.814152,0.924826,-0.080694,-0.05559,0.080694
sentiment,robust_router,mixed_light,mixed,light,3166,0.921668,0.825718,0.804623,0.814312,0.919459,0.921668,0.920412,4,0.822803,0.814312,0.008491,1.032,1,0.813839,0.921668,0.813839,0.921668,0.000473,0.0,-0.000473
sentiment,oracle_router,mixed_light,mixed,light,3166,0.921668,0.824602,0.804623,0.813839,0.919544,0.921668,0.920467,4,0.822815,0.813839,0.008976,1.0909,2,0.813839,0.921668,0.813839,0.921668,0.0,0.0,0.0
sentiment,phobert_only,mixed_light,mixed,light,3166,0.921668,0.824602,0.804623,0.813839,0.919544,0.921668,0.920467,4,0.822815,0.813839,0.008976,1.0909,2,0.813839,0.921668,0.813839,0.921668,0.0,0.0,0.0
sentiment,tfidf_char_svm_only,mixed_light,mixed,light,3166,0.864498,0.716572,0.735888,0.72483,0.871245,0.864498,0.867596,4,0.738784,0.72483,0.013954,1.8888,3,0.813839,0.921668,0.813839,0.921668,-0.089009,-0.05717,0.089009
sentiment,robust_router,no_accent,remove_diacritics,medium,3166,0.475679,0.457774,0.491209,0.414838,0.61385,0.475679,0.523529,5,0.822803,0.414838,0.407965,49.5823,1,0.339899,0.375237,0.414024,0.474416,0.074939,0.100442,-0.000814
sentiment,oracle_router,no_accent,remove_diacritics,medium,3166,0.474416,0.458113,0.490398,0.414024,0.614779,0.474416,0.522812,5,0.822815,0.414024,0.408791,49.682,2,0.339899,0.375237,0.414024,0.474416,0.074125,0.099179,0.0
sentiment,tfidf_char_svm_only,no_accent,remove_diacritics,medium,3166,0.474416,0.458113,0.490398,0.414024,0.614779,0.474416,0.522812,5,0.738784,0.414024,0.32476,43.9587,2,0.339899,0.375237,0.414024,0.474416,0.074125,0.099179,0.0
sentiment,phobert_only,no_accent,remove_diacritics,medium,3166,0.375237,0.440888,0.47334,0.339899,0.596478,0.375237,0.429524,5,0.822815,0.339899,0.482916,58.6907,3,0.339899,0.375237,0.414024,0.474416,0.0,0.0,0.074125
sentiment,oracle_router,mixed_no_accent,mixed,medium,3166,0.469678,0.457614,0.48842,0.411,0.614751,0.469678,0.519813,6,0.822815,0.411,0.411815,50.0495,1,0.340462,0.371762,0.411,0.469678,0.070538,0.097916,0.0
sentiment,tfidf_char_svm_only,mixed_no_accent,mixed,medium,3166,0.469678,0.457614,0.48842,0.411,0.614751,0.469678,0.519813,6,0.738784,0.411,0.327784,44.368,1,0.340462,0.371762,0.411,0.469678,0.070538,0.097916,0.0
sentiment,robust_router,mixed_no_accent,mixed,medium,3166,0.469994,0.456365,0.486816,0.410707,0.612956,0.469994,0.519681,6,0.822803,0.410707,0.412096,50.0844,2,0.340462,0.371762,0.411,0.469678,0.070245,0.098232,0.000293
sentiment,phobert_only,mixed_no_accent,mixed,medium,3166,0.371762,0.445737,0.471545,0.340462,0.603892,0.371762,0.430592,6,0.822815,0.340462,0.482353,58.6223,3,0.340462,0.371762,0.411,0.469678,0.0,0.0,0.070538
topic,oracle_router,clean,clean,none,3166,0.896399,0.819375,0.786622,0.800073,0.89333,0.896399,0.894241,0,0.800073,0.800073,0.0,0.0,1,0.800073,0.896399,0.800073,0.896399,0.0,0.0,0.0
topic,phobert_only,clean,clean,none,3166,0.896399,0.819375,0.786622,0.800073,0.89333,0.896399,0.894241,0,0.800073,0.800073,0.0,0.0,1,0.800073,0.896399,0.800073,0.896399,0.0,0.0,0.0
topic,robust_router,clean,clean,none,3166,0.896083,0.818038,0.786513,0.799525,0.893043,0.896083,0.893977,0,0.799525,0.799525,0.0,0.0,2,0.800073,0.896399,0.800073,0.896399,-0.000548,-0.000316,0.000548
topic,tfidf_char_svm_only,clean,clean,none,3166,0.833544,0.707016,0.765605,0.732207,0.851345,0.833544,0.840575,0,0.732207,0.732207,0.0,0.0,3,0.800073,0.896399,0.800073,0.896399,-0.067866,-0.062855,0.067866
topic,oracle_router,typo_light,typo,light,3166,0.893557,0.812117,0.784,0.795476,0.890439,0.893557,0.891452,1,0.800073,0.795476,0.004597,0.5746,1,0.795476,0.893557,0.795476,0.893557,0.0,0.0,0.0
topic,phobert_only,typo_light,typo,light,3166,0.893557,0.812117,0.784,0.795476,0.890439,0.893557,0.891452,1,0.800073,0.795476,0.004597,0.5746,1,0.795476,0.893557,0.795476,0.893557,0.0,0.0,0.0
topic,robust_router,typo_light,typo,light,3166,0.892925,0.80955,0.783782,0.794399,0.889887,0.892925,0.890926,1,0.799525,0.794399,0.005126,0.6411,2,0.795476,0.893557,0.795476,0.893557,-0.001077,-0.000632,0.001077
topic,tfidf_char_svm_only,typo_light,typo,light,3166,0.826911,0.697595,0.757788,0.723079,0.84677,0.826911,0.834723,1,0.732207,0.723079,0.009128,1.2466,3,0.795476,0.893557,0.795476,0.893557,-0.072397,-0.066646,0.072397
topic,robust_router,typo_medium,typo,medium,3166,0.88566,0.797177,0.779024,0.787098,0.884384,0.88566,0.884775,2,0.799525,0.787098,0.012427,1.5543,1,0.78659,0.885344,0.78659,0.885344,0.000508,0.000316,-0.000508
topic,oracle_router,typo_medium,typo,medium,3166,0.885344,0.796108,0.778915,0.78659,0.88415,0.885344,0.884517,2,0.800073,0.78659,0.013483,1.6852,2,0.78659,0.885344,0.78659,0.885344,0.0,0.0,0.0
topic,phobert_only,typo_medium,typo,medium,3166,0.885344,0.796108,0.778915,0.78659,0.88415,0.885344,0.884517,2,0.800073,0.78659,0.013483,1.6852,2,0.78659,0.885344,0.78659,0.885344,0.0,0.0,0.0
topic,tfidf_char_svm_only,typo_medium,typo,medium,3166,0.825963,0.696582,0.756501,0.721417,0.847327,0.825963,0.834351,2,0.732207,0.721417,0.01079,1.4736,3,0.78659,0.885344,0.78659,0.885344,-0.065173,-0.059381,0.065173
topic,oracle_router,teencode_light,teencode,light,3166,0.885028,0.798531,0.775527,0.785276,0.883074,0.885028,0.883645,3,0.800073,0.785276,0.014797,1.8495,1,0.785276,0.885028,0.785276,0.885028,0.0,0.0,0.0
topic,phobert_only,teencode_light,teencode,light,3166,0.885028,0.798531,0.775527,0.785276,0.883074,0.885028,0.883645,3,0.800073,0.785276,0.014797,1.8495,1,0.785276,0.885028,0.785276,0.885028,0.0,0.0,0.0
topic,robust_router,teencode_light,teencode,light,3166,0.884713,0.797386,0.775418,0.784767,0.882825,0.884713,0.883386,3,0.799525,0.784767,0.014758,1.8458,2,0.785276,0.885028,0.785276,0.885028,-0.000509,-0.000315,0.000509
topic,tfidf_char_svm_only,teencode_light,teencode,light,3166,0.822805,0.694285,0.756368,0.719644,0.845204,0.822805,0.83158,3,0.732207,0.719644,0.012563,1.7158,3,0.785276,0.885028,0.785276,0.885028,-0.065632,-0.062223,0.065632
topic,oracle_router,mixed_light,mixed,light,3166,0.881238,0.787292,0.768844,0.777107,0.878932,0.881238,0.879876,4,0.800073,0.777107,0.022966,2.8705,1,0.777107,0.881238,0.777107,0.881238,0.0,0.0,0.0
topic,phobert_only,mixed_light,mixed,light,3166,0.881238,0.787292,0.768844,0.777107,0.878932,0.881238,0.879876,4,0.800073,0.777107,0.022966,2.8705,1,0.777107,0.881238,0.777107,0.881238,0.0,0.0,0.0
topic,robust_router,mixed_light,mixed,light,3166,0.880922,0.786147,0.768407,0.776402,0.878645,0.880922,0.879594,4,0.799525,0.776402,0.023123,2.8921,2,0.777107,0.881238,0.777107,0.881238,-0.000705,-0.000316,0.000705
topic,tfidf_char_svm_only,mixed_light,mixed,light,3166,0.821226,0.693128,0.75595,0.718579,0.843638,0.821226,0.830109,4,0.732207,0.718579,0.013628,1.8612,3,0.777107,0.881238,0.777107,0.881238,-0.058528,-0.060012,0.058528
topic,robust_router,no_accent,remove_diacritics,medium,3166,0.442198,0.349868,0.36351,0.300043,0.628632,0.442198,0.50376,5,0.799525,0.300043,0.499482,62.4723,1,0.1866,0.252369,0.295702,0.436197,0.113443,0.189829,-0.004341
topic,oracle_router,no_accent,remove_diacritics,medium,3166,0.436197,0.348312,0.350866,0.295702,0.625973,0.436197,0.499572,5,0.800073,0.295702,0.504371,63.0406,2,0.1866,0.252369,0.295702,0.436197,0.109102,0.183828,0.0
topic,tfidf_char_svm_only,no_accent,remove_diacritics,medium,3166,0.436197,0.348312,0.350866,0.295702,0.625973,0.436197,0.499572,5,0.732207,0.295702,0.436505,59.615,2,0.1866,0.252369,0.295702,0.436197,0.109102,0.183828,0.0
topic,phobert_only,no_accent,remove_diacritics,medium,3166,0.252369,0.320659,0.312683,0.1866,0.629945,0.252369,0.320529,5,0.800073,0.1866,0.613473,76.6771,3,0.1866,0.252369,0.295702,0.436197,0.0,0.0,0.109102
topic,robust_router,mixed_no_accent,mixed,medium,3166,0.437776,0.355454,0.370913,0.304132,0.631114,0.437776,0.500526,6,0.799525,0.304132,0.495393,61.9609,1,0.187029,0.244157,0.300282,0.432091,0.117103,0.193619,-0.00385
topic,oracle_router,mixed_no_accent,mixed,medium,3166,0.432091,0.354265,0.359841,0.300282,0.628551,0.432091,0.496427,6,0.800073,0.300282,0.499791,62.4682,2,0.187029,0.244157,0.300282,0.432091,0.113253,0.187934,0.0
topic,tfidf_char_svm_only,mixed_no_accent,mixed,medium,3166,0.432091,0.354265,0.359841,0.300282,0.628551,0.432091,0.496427,6,0.732207,0.300282,0.431925,58.9895,2,0.187029,0.244157,0.300282,0.432091,0.113253,0.187934,0.0
topic,phobert_only,mixed_no_accent,mixed,medium,3166,0.244157,0.32741,0.310173,0.187029,0.629254,0.244157,0.31136,6,0.800073,0.187029,0.613044,76.6235,3,0.187029,0.244157,0.300282,0.432091,0.0,0.0,0.113253
